288, very good,,,,
386, sean and his wife clara are very friendly attentive and helpful hosts they bring their most trusted bedroom and bathrooms were well kept and great as a co-user of the kitchen and living room we are welcome sean is so friendly my to store your bike in his garage while I travel through Canada I can only recommend this host uwe gerischer,,,,
404, it was wonderful with sean and his family the room is perfect of the size and we felt very welcome it was two very nice days and we would have liked to have more time we had the kitchen and living room take advantage of everything is very spacious bright and friendly with the bus to get into the city the house is quiet so you can sleep well it is even a small breakfast with coffee or tea offered what you can make your own sean and his wife are very friendly and open-minded easy to come by so i can only recommend this overnight stay for car travelers is parking in front of the tr,,,,
458, sean carla son were really great hosts it was our first two nights with a booking via airbnb and we were so pleased that we would like to come back or even meet other hosts and cities we would like to have before ours Arrive several times by email written together and after landing in Seattle we had the direct contact to learn that we could arrive earlier than planned we were then handed the key the room and bathroom shown and all areas in the house shown which we were allowed to share ,,,,
1786, the accommodation is as described and the hosts are very friendly and helpful I personally found it a little k hl va in the bathroom had outside around the 7 c because there are only small heaters to be operated over the stream and the ceilings very high are the location so that you can easily reach the attractions to fu or the nearby subway station we found the city but not so convincing there are many artwork etc but a lot of neglected people and a smell of f alkalies etc in the street s  ,,,,
1884, we did not meet dirk and jaq personally but that was not a problem the key was deposited and everything went smoothly the apartment is centrally located clean and fully sufficient to Seattle to explore thank you for the stay,,,,
1986, the stay at dirk and jaq was wonderful it is all perfectly organized clean and friendly the location is perfectly located in the center and quickly from the train station ideal for a city break in seattle many thanks for the hospitality,,,,
2227, joe's apartment is very comfortable and clean I have never had so much space and privacy joe and his family is really nice and helpful i would book the apartment anytime again ,,,,
2543, andrea is an excellent hostess she has provided us with all the important information the communication during our stay has worked in the appartement is very nice located clean completely equipped and provided enough space for 4 people 2 adults 2 children parking in front of the house were available at any time we would choose it again at any time,,,,
3042, a great house in a great quiet location unfortunately we were only there for one night we would like to stay longer because we felt well right away everything was there what we needed gladly again,,,,
3134, we rented the comfortable house in the middle of the beautiful queen anne district and we were thrilled it is equipped with everything from useful as all kitchens or washing machine up to extras such as fireplace two b of the plus g stoilette or a supersch There was nothing missing what we had missed it was clean modern furnishings and ideally located for our purposes becky also has a house map with all sorts of useful information on car routes vantage points restaurants caf s etc put together we immediately good harbors like to keep repeats and recommend this beautiful house to everyone, because even at not so unusual rainy days in Seattle, the house offers enough space to relax and live ,,
3612, brittany was a very friendly warm and open host after we arrived she invited us to salad and drink and she gave us tips and recommendations for restaurants bars and shopping in the neighborhood the house is in a very quiet area The boys clean and safe neighborhood we had no hesitation in the evening there to move the room was for two people and only for the night perfectly adequate in addition we had our own bathroom and a separate verschlie ble entrance over the terrace which we also use Overall, I can recommend the stay at brittany only,,,
3883, We are thankful that we were able to spend a wonderful week in kevin's well maintained and fully equipped house in a very quiet and safe environment, in the unusually hot weather of Seattle we especially have the stay in the well maintained garden in the middle of many beautiful blooming flowers enjoyed sightseeing the downtown is good and quick to reach by fast bus we spent a wonderful week in very pleasant surroundings thank you kevin any time again,,,
